run,target_qps,achieved_qps,avg_latency,p95_latency
1,238.3,94.3,170.0,252.9
1,274.8,108.9,175.3,299.2
1,299.5,112.8,170.0,333.5
1,321.2,129.1,168.6,361.9
1,367.0,221.3,173.5,400.9
1,382.3,306.1,168.8,408.8
1,2055.2,1103.1,1417.8,2108.0
1,2177.8,1108.2,1536.4,2163.3
1,2134.8,1080.6,1525.9,2096.0
1,2148.8,1062.3,1528.5,2123.0
1,2154.1,1068.9,1528.3,2117.6
1,2087.8,1078.4,1457.5,2071.4
1,2122.8,1074.8,1503.9,2092.4
1,2133.1,1047.5,1514.1,2100.1
1,2135.3,1065.6,1502.7,2113.6
1,2008.0,1046.4,1404.4,1978.3
2,226.5,81.8,163.8,241.5
2,265.5,89.7,171.1,291.3
2,297.8,123.7,167.7,330.4
2,320.1,146.7,166.5,359.3
2,354.6,186.6,167.0,397.0
2,406.9,291.1,180.5,434.0
2,2109.1,1112.7,1446.3,2121.7
2,2149.6,1067.4,1506.4,2112.0
2,2211.8,1070.0,1557.3,2158.0
2,2023.9,1065.7,1392.7,1977.7
2,2198.5,1080.1,1542.0,2142.1
2,2448.0,1173.0,1630.5,2444.7
2,2153.4,1100.6,1457.5,2105.6
2,2176.8,1073.8,1562.8,2137.7
2,2201.5,1073.8,1571.7,2150.3
2,2086.9,1046.9,1482.4,2029.7
3,245.5,126.4,173.3,257.0
3,285.5,126.8,177.3,309.7
3,299.7,105.8,169.9,334.3
3,329.8,177.0,168.0,365.4
3,404.2,296.8,181.7,428.1
3,1890.9,1300.0,340.6,2180.2
3,2260.6,1091.5,1591.0,2197.5
3,2105.0,1063.8,1481.9,2066.6
3,2291.0,1118.6,1604.0,2248.7
3,2176.1,1067.1,1535.9,2131.4
3,2171.6,1077.2,1532.8,2123.9
3,2173.1,1142.9,1491.5,2111.7
3,2221.5,1126.7,1539.0,2166.0
3,2083.6,1040.2,1482.8,2038.0
3,2128.5,1100.4,1488.1,2070.6
3,2066.2,1087.8,1440.2,2020.5
4,233.8,64.0,171.4,250.3
4,270.8,103.1,174.7,293.7
4,298.1,135.5,168.1,330.2
4,321.3,131.9,168.9,361.4
4,340.8,170.6,169.7,381.2
4,467.8,477.1,183.1,445.0
4,2089.7,1088.0,1430.1,2105.3
4,2101.9,1051.0,1496.9,2078.5
4,2091.4,1062.9,1495.4,2055.3
4,2115.1,1049.1,1509.6,2094.6
4,2117.2,1050.8,1501.8,2095.6
4,2045.1,1054.5,1422.5,2043.5
4,2158.5,1102.7,1503.2,2123.6
4,2175.3,1085.0,1528.5,2139.3
4,2125.9,1053.4,1526.3,2088.8
4,2151.6,1057.1,1527.1,2118.0
5,233.7,80.8,170.9,248.3
5,262.3,94.9,170.9,285.9
5,283.9,107.7,160.9,316.1
5,316.2,123.3,163.3,356.9
5,335.3,150.1,166.5,378.4
5,383.4,215.7,177.8,425.2
5,2121.4,1082.6,1495.0,2105.4
5,2183.0,1097.3,1564.2,2136.5
5,2088.3,1077.8,1436.2,2068.3
5,2131.6,1059.1,1495.4,2108.1
5,2089.1,1053.0,1497.0,2057.3
5,2040.7,1022.1,1459.1,1998.4
5,2049.3,1033.4,1478.3,2000.3
5,2133.0,1079.8,1520.7,2087.0
5,2083.6,1053.1,1484.6,2033.5
5,2262.4,1104.8,1570.2,2195.5
