run,target_qps,achieved_qps,avg_latency,p95_latency
1,364.3,509.6,170.7,250.4
1,432.1,528.3,174.9,312.3
1,500.2,558.2,174.9,380.7
1,599.0,622.4,188.2,518.8
1,3122.0,1503.4,1360.5,3441.7
1,3170.4,1485.4,1360.4,3445.4
1,3141.3,1508.3,1332.0,3435.6
1,3283.6,1475.0,1410.8,3522.5
1,2992.8,1478.9,1269.5,3394.4
1,3247.6,1508.8,1392.8,3483.0
1,3231.9,1469.2,1394.5,3483.2
1,3285.6,1529.5,1401.2,3509.2
1,3163.3,1469.0,1363.3,3443.7
1,3221.5,1492.3,1363.9,3473.4
1,3072.2,1475.7,1332.1,3407.6
1,3158.4,1469.6,1368.5,3440.3
2,361.7,486.8,168.5,251.4
2,438.5,522.6,179.3,316.1
2,510.4,587.3,176.0,383.8
2,630.2,660.5,192.0,545.7
2,3039.6,1503.9,1329.8,3418.3
2,3110.3,1466.0,1345.2,3425.8
2,3362.2,1536.5,1433.9,3564.6
2,3079.4,1481.6,1319.1,3418.9
2,3107.5,1500.8,1327.1,3426.4
2,3480.5,1504.3,1458.8,3672.3
2,3148.0,1505.4,1309.5,3459.2
2,3220.4,1496.2,1361.4,3472.1
2,3677.5,1838.2,1465.6,3727.9
2,3123.2,1509.6,1318.6,3430.2
2,3241.4,1479.4,1380.9,3486.3
2,3290.3,1515.1,1379.9,3506.2
3,354.6,485.0,168.2,248.1
3,414.8,505.2,172.8,308.9
3,495.8,545.5,171.0,379.4
3,606.5,612.9,186.8,530.5
3,3102.3,1491.9,1337.6,3429.3
3,3189.7,1459.5,1393.3,3461.3
3,3192.8,1464.3,1396.1,3457.9
3,3095.6,1481.4,1323.0,3422.1
3,3090.5,1475.3,1338.4,3419.6
3,3270.6,1460.3,1424.8,3526.5
3,3150.7,1473.1,1356.0,3436.9
3,3153.5,1495.1,1350.9,3445.6
3,3209.1,1491.1,1395.5,3458.5
3,3137.1,1474.5,1356.8,3434.4
3,3221.8,1482.1,1378.1,3464.7
3,2939.6,1503.4,1246.1,3371.8
4,350.6,463.5,167.6,247.4
4,411.7,519.2,170.1,297.9
4,491.6,543.6,173.7,381.0
4,617.4,623.4,192.6,545.4
4,3057.9,1541.9,1330.6,3424.3
4,3156.2,1467.9,1366.6,3473.6
4,3284.1,1535.8,1372.3,3516.0
4,3134.3,1497.7,1326.3,3445.7
4,3351.3,1509.3,1437.5,3596.8
4,3319.4,1562.2,1403.7,3570.5
4,3228.0,1492.3,1405.7,3485.0
4,3141.3,1493.4,1343.8,3446.4
4,2980.6,1488.5,1287.1,3385.8
4,3142.2,1507.2,1359.4,3436.7
4,3090.8,1489.6,1330.5,3423.3
4,3043.8,1521.0,1288.9,3406.6
5,355.0,491.6,168.1,253.1
5,427.8,536.0,174.5,306.2
5,497.8,563.7,173.6,373.9
5,603.8,634.6,185.7,523.4
5,2740.2,1608.6,770.5,3384.0
5,3090.0,1512.0,1330.4,3412.5
5,2995.3,1466.2,1296.2,3392.9
5,3076.9,1463.6,1332.9,3410.2
5,3133.7,1469.9,1352.4,3429.3
5,3120.1,1455.4,1356.3,3430.7
5,2864.2,1473.6,1221.0,3340.2
5,3115.5,1485.4,1342.3,3423.2
5,3125.3,1492.9,1345.7,3427.6
5,3084.2,1494.6,1327.6,3414.1
5,3100.1,1459.9,1338.4,3423.4
5,3140.2,1478.1,1346.6,3432.0
