run,target_qps,achieved_qps,avg_latency,p95_latency
1,363.1,494.0,154.9,254.9
1,295.2,95.6,190.9,320.0
1,323.1,117.6,181.4,359.0
1,333.3,136.0,172.6,376.2
1,349.6,157.3,172.4,396.1
1,377.8,183.7,179.5,426.6
1,425.7,289.3,189.0,460.2
1,417.2,224.4,194.4,463.8
1,1231.9,905.2,336.8,1402.1
1,1621.9,888.3,1304.2,1489.7
1,1648.6,893.1,1319.9,1502.9
1,1479.9,798.5,1205.3,1366.2
1,1656.1,902.7,1311.7,1508.1
1,1645.5,902.8,1250.5,1517.0
1,1702.8,939.5,1302.9,1566.1
1,1612.2,864.6,1298.8,1478.8
2,267.0,115.9,195.8,282.2
2,287.9,120.4,186.9,310.2
2,313.7,108.4,184.3,347.9
2,323.9,135.3,170.4,364.1
2,341.4,144.7,169.3,388.6
2,354.8,179.0,174.4,400.1
2,381.3,187.3,178.8,428.1
2,420.6,244.2,193.3,462.7
2,1485.6,892.3,1123.3,1442.9
2,1604.4,890.1,1240.7,1473.8
2,1651.5,918.4,1285.0,1492.6
2,1711.3,950.4,1293.6,1573.3
2,1763.1,966.0,1305.1,1679.7
2,1720.4,963.9,1300.6,1584.1
2,1720.8,947.2,1277.8,1603.2
2,1755.3,953.6,1313.5,1622.0
3,275.5,231.7,195.1,282.2
3,319.6,144.5,207.2,341.9
3,333.1,129.2,186.1,369.6
3,361.2,148.7,181.4,405.2
3,377.0,195.5,175.2,423.5
3,421.8,233.3,192.2,470.5
3,405.2,230.6,184.1,450.6
3,1771.5,995.1,1264.0,1740.2
3,1688.1,952.8,1262.4,1578.5
3,1906.7,1003.1,1351.1,1896.6
3,1738.7,955.9,1300.3,1611.8
3,1623.5,877.1,1293.9,1490.5
3,1684.0,922.4,1311.7,1549.9
3,1580.5,861.0,1276.1,1452.4
3,1644.9,884.4,1302.4,1501.1
3,1538.2,847.1,1208.8,1436.5
4,247.0,91.0,180.1,261.9
4,279.0,91.3,188.3,303.5
4,310.2,109.9,180.4,344.3
4,319.0,127.5,169.0,360.7
4,4703.9,2487.5,1541.0,5825.3
4,356.2,172.6,175.4,401.2
4,366.8,176.8,177.7,414.7
4,517.0,459.0,201.4,507.1
4,1562.9,857.8,1259.4,1477.6
4,1576.9,874.4,1261.6,1450.2
4,1563.7,852.7,1265.9,1450.4
4,1555.8,853.3,1234.8,1435.7
4,1594.0,856.9,1293.4,1465.3
4,1582.0,857.5,1254.1,1473.1
4,1556.3,844.5,1254.4,1437.6
4,1632.7,905.7,1303.6,1492.4
5,254.1,91.6,190.8,269.5
5,286.4,184.5,190.0,307.1
5,312.5,123.0,175.4,348.0
5,323.1,141.5,172.4,362.8
5,327.6,137.5,165.0,374.2
5,343.5,150.1,170.0,391.1
5,379.4,204.0,180.1,424.6
5,408.0,217.7,194.9,455.0
5,1086.9,777.2,342.5,1269.2
5,1591.9,864.2,1285.8,1467.7
5,1627.5,915.5,1292.8,1493.4
5,1595.1,861.2,1293.5,1473.9
5,1604.7,875.6,1299.0,1476.5
5,1669.2,909.8,1329.1,1541.6
5,1568.8,861.6,1287.2,1453.2
5,1569.7,834.5,1293.0,1457.9
