#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      216.1    88.2    86.8   142.1   153.3   208.4   233.6   248.1   258.0   269.5   284.1   306.2   365.2   563.0  3653.0  29933.0    30000  1776502437346  1776502447495
read      220.3    92.1    86.8   142.8   154.0   210.0   235.6   250.6   261.4   273.2   290.1   316.9   402.1  1158.5  3166.3  30027.2    30005  1776502449007  1776502459129
read      227.1    98.6    93.8   146.1   157.3   215.3   243.5   259.9   271.5   285.8   303.5   332.5   407.2  1152.4  3229.7  30132.0    30010  1776502460640  1776502470740
read      230.4   133.7    93.8   142.6   154.1   213.9   243.2   260.7   273.0   289.1   310.0   344.4   458.1  2373.6  5259.6  30045.8    30015  1776502472252  1776502482353
read      248.3   204.2    86.8   141.0   152.3   217.5   252.9   274.0   290.7   310.8   338.3   387.1   744.7  3246.8  6062.9  29961.6    30020  1776502483864  1776502493969
read      273.0   344.7    86.8   137.4   148.0   208.3   241.0   262.9   280.4   304.5   342.9   457.3  1887.0  4873.4  6455.5  30093.8    30025  1776502495480  1776502505583
read      272.8   361.9    86.8   135.6   145.9   205.4   236.4   257.4   273.8   296.6   337.0   462.9  2134.9  4842.9  7673.9  30032.6    30030  1776502507094  1776502517196
read      269.0   342.0    93.8   138.2   148.6   208.1   240.2   260.6   275.6   296.3   328.7   421.8  1930.0  4755.2  7365.5  29976.9    30035  1776502518707  1776502528809
read      295.6   440.3    93.8   140.2   151.1   208.6   238.1   256.9   271.8   292.4   329.5   526.0  2663.5  6110.4  7443.9  29965.7    30040  1776502530320  1776502540420
read      288.5   427.9    93.8   138.5   149.1   205.1   233.0   250.9   265.6   285.2   317.9   458.0  2667.4  6017.2  6752.1  29933.5    30045  1776502541931  1776502552035
read      297.6   438.1    93.8   141.4   152.3   209.8   239.1   258.3   273.3   294.3   330.1   507.8  2671.5  6065.2  7033.6  30006.7    30050  1776502553547  1776502563648
read      294.1   423.0    93.8   143.3   154.3   213.3   243.5   262.7   277.1   296.7   330.9   455.2  2662.8  6020.6  6459.4  30053.5    30055  1776502565160  1776502575266
read      233.4   217.6    93.8   141.7   152.6   208.3   234.2   249.6   260.7   273.3   291.0   319.5   661.4  2957.8  6287.8  30008.7    30060  1776502576778  1776502586880
read      216.3    93.6    80.4   141.2   152.5   207.9   233.4   248.0   258.2   270.0   285.3   308.5   367.3   622.6  4213.3  30041.7    30065  1776502588392  1776502598492
read      214.4    85.0    86.8   141.3   152.6   207.2   231.3   244.8   254.0   265.9   279.9   303.5   363.9   599.2  3611.8  30133.1    30070  1776502600003  1776502610103
read      213.8    71.3    86.8   141.2   152.3   206.5   231.6   245.5   254.8   266.9   281.3   304.6   360.8   508.5  2739.4  30003.3    30075  1776502611615  1776502621715
read      211.5    85.7    86.8   139.2   150.0   203.4   229.0   242.8   252.5   264.2   277.4   300.0   356.5   602.4  3611.1  30120.3    30080  1776502623227  1776502633328
read      212.1    82.3    86.8   140.0   150.9   204.8   229.7   243.1   252.5   263.9   276.3   297.1   353.9   606.0  3341.6  30038.2    30085  1776502634840  1776502644942
read      213.3    75.9    86.8   140.1   151.4   206.6   231.2   244.6   253.7   265.4   279.1   301.8   360.4   540.7  2990.9  30051.4    30090  1776502646455  1776502656594
