#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      277.3   158.5   109.4   169.8   186.5   247.5   275.2   295.0   312.1   339.5   399.7   480.5   773.3  1428.5  9504.4   4927.8     5000  1778087366153  1778087368411
read      324.9   203.8    93.8   165.6   185.7   281.7   323.2   354.7   383.2   425.9   481.5   615.4  1058.1  2399.0  5123.7  15071.0    15000  1778087369918  1778087372157
read      304.3   143.0    93.8   154.7   174.0   289.9   334.0   359.4   378.2   402.0   435.7   493.5   667.6  1371.2  3773.1  24948.0    25000  1778087373663  1778087375864
read      321.5   157.2    86.8   149.2   166.8   298.3   357.3   390.0   414.5   444.3   484.8   571.5   845.6  1638.1  3234.8  34949.0    35000  1778087377368  1778087379575
read      349.7   198.4    86.8   148.7   167.6   313.6   388.3   430.1   461.3   499.9   564.0   679.2   943.0  1959.0  4797.3  44930.0    45000  1778087381080  1778087383283
read      346.8   171.7    74.4   148.9   169.4   317.6   390.9   432.6   463.1   499.7   552.4   648.6   853.5  1699.0  2939.7  54786.4    55000  1778087384787  1778087386987
read      485.2   306.8    86.8   173.3   205.6   416.0   527.9   604.5   657.0   721.6   817.4   996.7  1660.9  2856.1  4878.4  64788.7    65000  1778087388491  1778087390697
read      860.6   388.1   137.8   556.6   606.4   755.5   821.3   882.7  1028.0  1236.2  1365.7  1483.0  1674.1  7122.2  9419.8  73906.9    75000  1778087392202  1778087394410
read      924.5   392.6   148.8   614.8   670.0   809.5   865.8   926.1  1056.6  1345.0  1490.8  1597.6  1750.5  7126.1  8046.7  71102.0    85000  1778087395914  1778087398117
read      962.3   466.6    93.8   466.8   586.5   860.6   953.8  1059.3  1177.1  1350.0  1533.3  1711.6  2343.5  6708.6  9285.5  68054.9    95000  1778087399623  1778087401825
read      961.5   444.7   118.1   648.8   702.7   844.5   901.6   940.1  1019.5  1388.4  1548.5  1669.3  1842.7  7320.1 10640.8  68722.5   105000  1778087403334  1778087405538
read      935.1   504.5   127.6   602.1   659.4   819.3   881.2   941.2  1084.9  1340.5  1488.5  1607.3  1804.8  7342.9 10183.4  70533.8   115000  1778087407042  1778087409244
read      881.9   403.7   101.3   505.9   590.2   776.0   858.3   964.5  1109.5  1269.9  1404.8  1530.8  1773.6  7014.2  9777.7  74415.6   125000  1778087410748  1778087412950
