Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1778602009094
Timestamp end: 1778603809399

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      236.1    77.8   101.3   161.7   175.6   231.4   251.5   262.9   270.6   280.3   293.2   315.3   375.0   839.0  2756.0   6911.5     6927
read      276.2   128.9    86.8   134.5   147.6   260.7   315.1   344.5   366.6   392.3   424.5   470.9   586.9  1253.1  3008.3  52833.9    52892
read      274.3   186.7    86.8   137.3   150.9   244.5   298.5   327.9   348.4   372.8   403.8   459.2   736.7  2852.6  5460.7  98938.9    98921
read      285.2   143.6    86.8   133.9   147.1   263.4   322.4   356.0   380.9   411.1   450.8   508.7   669.8  1408.2  3078.2  61191.2    61129
read      284.0   122.6    86.8   142.4   156.8   276.2   324.2   349.2   367.6   388.8   415.1   456.2   554.3  1247.0  3149.9  40605.3    40613
read      288.9   145.5    86.8   137.8   151.5   272.5   327.1   358.0   380.6   407.2   442.5   496.8   631.5  1390.0  4619.1  53317.9    53226
read      287.4   124.5    86.8   144.6   160.0   280.4   326.6   351.1   369.0   390.1   416.6   457.9   554.9  1135.6  3561.1  38655.9    38560
read      335.7   269.9    86.8   151.4   169.4   286.2   343.1   376.5   402.1   436.3   491.7   629.4  1448.1  3339.9  7265.4 103368.8   103465
read      302.1   199.3    86.8   148.1   164.4   272.9   326.6   356.7   378.6   405.0   443.7   514.7   832.0  2822.3  5609.7 104698.3   104758
read      278.0   143.6    86.8   141.0   155.4   254.8   309.1   338.2   359.0   383.2   414.8   467.3   680.2  1661.9  3981.6  94715.9    94759
read      285.6   117.4    86.8   145.1   160.3   280.6   326.3   349.8   367.0   386.8   410.9   449.7   537.6  1032.1  3222.6  37868.7    37799
