Timestamp start: 1778605687891
Timestamp end: 1778607488198

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      248.5   128.8   101.3   166.7   182.9   243.3   263.7   274.2   283.2   292.7   306.5   328.1   388.1  1171.9  5081.7   6916.1     6927
read      285.1   134.3    86.8   136.9   150.4   271.7   326.5   356.6   378.1   403.3   435.7   487.2   599.7  1148.5  3178.8  52903.2    52892
read      298.6   218.1    80.4   143.1   158.5   263.3   318.8   348.8   371.1   398.2   435.8   516.4   964.1  3116.6  6558.9  98882.6    98921
read      290.1   152.5    86.8   136.1   149.7   268.4   327.9   360.9   385.4   415.3   455.5   518.8   689.8  1504.7  3859.6  61174.9    61129
read      284.2   125.3    86.8   141.0   155.4   278.0   325.7   350.7   368.7   390.0   416.5   457.4   548.3  1001.6  3489.8  40705.3    40613
read      287.8   131.4    80.4   136.6   150.2   273.8   329.7   360.6   383.1   409.3   443.4   495.7   620.2  1136.1  2888.6  53242.1    53226
read      288.1   119.3    86.8   143.4   158.2   282.7   330.3   355.4   372.7   393.9   420.5   461.2   553.5  1056.5  2790.0  38609.9    38560
read      296.1   227.9    86.8   144.2   160.2   265.8   319.1   348.1   369.7   395.5   430.1   492.9   791.5  3371.3  7627.7 103520.7   103465
read      287.3   181.6    86.8   143.5   159.1   263.0   316.0   344.4   365.4   390.0   422.6   477.9   690.1  2783.2  6101.2 104734.7   104758
read      277.5   156.0    86.8   140.2   154.5   254.1   308.9   337.5   358.0   381.6   412.0   462.7   649.3  1974.5  4003.1  94846.3    94759
read      289.1   114.7    86.8   148.1   163.4   285.3   330.4   354.0   370.3   390.2   414.9   454.1   541.1   952.0  3048.3  37739.1    37799
read      251.7   102.3   101.3   168.7   185.9   247.2   268.2   279.5   288.3   297.1   312.1   334.4   391.5  1154.3  5232.8   8329.5     8296
read      293.5   173.6    86.8   132.9   146.2   262.4   325.5   362.8   391.8   427.6   473.9   546.1   764.5  2052.9  3927.4  69418.7    69443
read      259.6    80.8   101.3   164.9   183.5   257.5   281.1   293.8   303.5   314.7   329.5   352.3   404.3   940.6  3078.2  12525.9    12517
read      284.2   126.7    86.8   139.2   153.1   276.4   326.2   352.8   371.8   394.5   423.1   466.0   567.9  1018.4  3060.2  43663.3    43591
read      275.7    85.4    86.8   157.1   175.2   275.5   306.3   321.7   334.3   346.8   366.0   394.2   457.9   742.7  2348.9  20496.0    20430
read      285.1   173.9    86.8   140.6   154.9   257.4   312.9   342.4   363.9   389.4   423.6   486.5   788.8  2179.3  4207.3  93669.4    93758
read      262.3   102.5   101.3   169.0   187.8   258.4   282.4   295.0   305.1   316.2   331.8   356.2   420.4  1012.6  5023.5  10555.5    10485
read      264.4    78.8    93.8   156.4   175.7   262.7   289.5   304.1   314.5   327.1   343.4   370.8   436.9   749.2  2627.9  16588.8    16518
read      301.7   192.1    86.8   143.9   159.5   273.7   329.4   359.3   381.1   407.4   446.8   525.5   885.9  2333.2  5963.5  83170.7    83230
read      253.0   122.0   109.4   173.2   188.3   244.3   265.2   275.9   285.8   295.8   312.0   338.4   424.6  1338.2  5484.4   5511.9     5484
read      314.6   172.1    86.8   142.1   157.0   289.0   349.1   385.8   414.1   449.7   496.9   574.5   801.1  1744.4  4488.4  55559.2    55611
read      283.9   101.6   101.3   156.4   175.3   281.4   314.1   332.1   344.5   361.0   381.1   414.0   497.4   867.1  3847.9  20794.3    20774
read      301.6   215.0    86.8   146.0   161.9   273.0   327.1   356.4   377.5   403.1   439.3   506.1   822.7  2951.2  6852.1  96781.7    96726
read      291.9   113.9    93.8   147.6   163.2   287.5   330.2   353.1   369.7   390.1   416.1   458.3   559.5  1016.3  2996.1  32491.1    32442
read      288.2   164.7    86.8   138.7   152.0   260.4   318.8   349.4   371.8   399.6   440.0   524.8   785.2  1776.2  4517.3  73028.6    73039
read      273.8   125.1    86.8   139.4   152.8   257.9   313.8   340.8   359.6   380.7   407.1   452.8   585.3  1178.2  3280.8  73955.1    74055
read      296.8   150.5    86.8   139.0   152.5   279.5   334.7   366.1   390.1   420.1   460.1   522.5   689.3  1483.6  3993.1  51296.1    51197
read      308.3   174.8    86.8   139.5   153.3   280.7   342.2   379.4   408.1   445.1   493.2   569.8   787.6  1811.9  4767.0  59373.1    59442
read      292.9   218.4    93.8   144.7   159.7   285.6   330.7   355.5   373.3   395.9   425.1   469.5   579.1  1032.7  4365.3  35726.4    35654
read      281.2   165.9    86.8   139.5   153.1   257.6   314.4   342.9   363.4   387.2   418.7   472.6   709.7  2139.5  5046.3  78647.3    78747
read      301.3   132.7    86.8   148.7   164.1   290.1   341.3   369.4   390.2   414.6   447.1   498.9   629.3  1257.8  3049.9  42267.3    42212
read      303.8   307.6    86.8   141.8   156.0   282.7   341.6   375.2   400.7   431.7   471.3   535.0   703.0  1604.5  3998.6  52440.9    52488
read      300.0   126.5    93.8   150.4   165.5   292.2   340.9   367.7   387.1   408.9   436.8   483.2   589.5  1179.4  3252.4  36862.9    36950
read      283.5    96.0   101.3   168.0   187.5   281.5   311.0   326.9   338.6   352.0   369.6   397.5   464.8   957.2  3827.0  16775.6    16762
read      286.7   171.4    86.8   140.0   153.9   257.9   315.9   345.7   367.7   393.9   429.1   498.0   835.5  1980.4  4949.1  79471.9    79473
read      303.2   175.4    86.8   140.1   153.9   273.8   336.3   372.3   400.1   435.3   483.6   558.8   772.6  1998.2  4764.8  61505.5    61431
read      290.8   182.1    86.8   140.9   155.2   257.8   315.1   345.6   368.5   395.8   433.2   510.3   911.4  2166.6  4676.9  87067.3    87172
read      298.8   198.2    86.8   145.5   162.0   270.9   325.0   355.2   377.0   403.9   442.6   510.6   761.7  3022.5  6566.3 108236.1   108181
read      276.1   137.0    86.8   139.5   153.1   254.8   311.7   340.8   361.3   384.9   415.0   464.0   634.0  1533.0  3302.4  80389.6    80515
read      300.9   142.9    93.8   148.8   164.1   292.5   341.2   368.1   387.7   410.0   439.2   488.1   597.0  1224.0  3966.6  37248.4    37149
read      280.4    89.9    93.8   173.7   194.2   277.7   304.7   318.8   330.1   342.5   360.3   387.2   451.3   971.4  3141.5  13444.1    13444
read      283.7   165.8    86.8   140.3   154.1   261.0   318.6   347.3   368.0   391.9   422.9   474.2   705.9  2109.7  5076.1  71935.4    72057
read      285.5   148.9    86.8   138.9   152.7   262.4   321.0   351.6   373.3   400.1   436.1   504.8   714.5  1275.7  4080.3  70081.0    70041
read      278.7   152.7    80.4   140.5   154.8   256.6   311.3   339.8   360.2   383.9   414.6   465.2   650.1  1922.3  4333.6  90060.8    90162
read      285.6   129.4    86.8   136.1   149.8   272.5   327.2   357.2   378.7   403.8   436.7   488.6   609.6  1085.6  3117.0  51994.5    52082
read      281.4   102.0    93.8   153.9   171.2   280.7   314.7   332.9   345.3   361.6   380.9   410.7   485.0   921.7  2805.5  24252.5    24258
read      296.3   196.9    80.4   139.3   153.5   266.1   325.4   357.3   380.5   408.8   450.7   528.9   823.1  2467.9  6625.6  72060.9    72013
read      309.9   153.3    86.8   146.0   161.5   288.1   347.7   382.2   407.6   439.6   483.3   550.7   738.1  1291.2  3718.5  58037.6    58012
