Random waveform, supplied seed
Total number of intervals = 600 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056, 94134, 37808, 53481, 25666, 108853, 41576, 70282, 45769, 92383, 12100, 67747, 68933, 63242, 72993, 51022, 67069, 24895, 68588, 42706, 49479, 64792, 73879, 31893, 74262, 57246, 91617, 55173, 108633, 15720, 99961, 102613, 57169, 56950, 49938, 5383, 39719, 36653, 69482, 46749, 65109, 46501, 109480, 69433, 58157, 70737, 34617, 77563, 90036, 36689, 46832, 104903, 14153, 21674, 5689, 37781, 15507, 102064, 71340, 79815, 44352, 109562, 86219, 47335, 41962, 45802, 13389, 95780, 87844, 55903, 100902, 70988, 53831, 26948, 32347, 41050, 56197, 94617, 71839, 79082, 107630, 60164, 97878, 63680, 73888, 65499, 96906, 103287, 49664, 32535, 46477, 7459, 74137, 57061, 34213, 7432, 41605, 32998, 61636, 64695, 14063, 91302, 6064, 41354, 19863, 19488, 14040, 19538, 20199, 106657, 92457, 92780, 68203, 81753, 57748, 21027, 49680, 82042, 93691, 45291, 30437, 67422, 69956, 35404, 80225, 105585, 20088, 12672, 15696, 25951, 65007, 10189, 78008, 12678, 15922, 41774, 38788, 34559, 54825, 42697, 12669, 70047, 96137, 92934, 20597, 66597, 59987, 58456, 59958, 98221, 55912)
Average QPS expected = 57644
Timestamp start: 1778616814429
Timestamp end: 1778618614916

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      259.4   105.0   109.4   178.7   195.3   254.2   274.4   286.6   294.3   304.9   317.4   340.0   400.8  1208.1  3755.5   6840.3     6927
read      292.5   139.5    86.8   138.6   152.3   277.4   333.2   363.8   386.6   413.8   448.6   501.2   635.0  1676.6  3103.0  52588.3    52892
read      351.3   303.2    86.8   145.3   161.8   274.7   336.8   378.7   418.2   481.5   624.5   829.9  1492.8  3476.6  7423.7  98767.0    98921
read      281.8   123.6    86.8   136.4   150.0   265.5   322.5   352.5   373.5   399.8   433.8   490.2   627.7  1058.2  1836.6  61177.7    61129
read      287.3   120.0    86.8   142.1   156.6   281.0   329.3   354.6   372.3   394.1   422.0   464.6   568.5  1022.2  2368.7  40799.7    40613
read      289.6   139.9    93.8   137.7   151.3   274.6   330.6   361.3   383.7   410.4   445.5   497.0   627.9  1236.5  4220.5  52950.3    53226
read      286.7   108.5    93.8   143.5   158.4   282.8   329.7   354.0   371.1   392.1   418.4   457.9   544.0   818.7  2092.5  38599.7    38560
read      472.2   573.8    93.8   160.5   183.1   318.5   392.9   445.5   492.2   563.5   764.8  1498.0  3263.4  6425.6  8110.5 103411.7   103465
read      279.5   160.4    86.8   142.3   157.2   256.6   308.1   336.4   356.9   380.9   412.3   464.9   650.6  2129.1  4838.5 104711.3   104758
read      278.1   166.7    86.8   140.6   155.0   253.2   306.9   335.6   356.2   380.2   412.0   463.8   685.1  2186.7  4431.7  94388.0    94759
read      287.3   104.4    86.8   149.3   164.2   286.0   328.1   348.9   364.6   382.4   404.1   442.6   538.3   925.5  2188.0  37625.3    37799
read      268.4   182.6   101.3   179.6   197.5   257.9   279.5   292.0   301.0   312.4   326.1   348.3   420.3  2725.7  7637.0   8329.3     8296
read      305.5   172.6    86.8   137.2   151.0   272.2   337.2   375.3   405.5   445.1   495.3   578.3   837.3  1850.7  2947.4  69545.0    69443
read      270.3    77.4   101.3   172.0   193.6   267.1   291.7   305.5   315.2   327.2   342.7   368.4   430.7  1107.9  2309.2  12519.7    12517
read      292.9   119.7    86.8   142.3   157.1   285.1   336.5   364.1   384.0   406.9   437.1   484.6   585.1   852.2  3414.9  43511.3    43591
read      280.9   102.3    93.8   158.8   178.2   280.6   311.3   327.7   339.7   353.8   370.9   399.3   460.2   742.4  3953.4  20585.7    20430
read      322.8   266.0    86.8   142.8   157.8   265.1   322.8   358.1   386.6   426.6   497.1   703.5  1376.2  3104.3  6282.2  93708.0    93758
read      261.5    76.6   109.4   175.0   194.3   258.1   279.9   291.8   300.1   311.3   323.9   347.7   410.1  1114.2  3190.4  10581.3    10485
read      272.8    82.5   101.3   163.8   184.9   271.0   298.3   313.2   323.2   336.6   352.5   378.9   434.3   742.5  3001.5  16423.7    16518
read      296.6   237.6    86.8   138.5   152.1   256.2   315.7   347.9   372.0   401.6   446.6   535.0   949.4  3316.7  6790.4  83312.3    83230
read      241.2    88.1   109.4   173.6   186.6   233.9   252.7   263.7   270.9   280.5   293.7   316.4   381.7  1171.3  3076.5   5500.3     5484
read      291.5   157.0    86.8   138.5   152.1   274.2   330.1   361.1   384.2   411.6   447.9   502.8   652.3  1540.8  5029.9  55220.7    55611
read      278.5   102.8    93.8   158.0   176.5   276.9   307.4   322.9   335.4   348.4   367.2   395.8   461.3  1288.5  4004.6  20741.0    20774
read      361.7   330.3    86.8   146.6   163.0   275.5   338.1   380.9   422.3   497.9   657.3   885.9  1709.4  3596.3  7403.6  96797.3    96726
read      282.5    99.9    93.8   151.1   166.6   282.9   320.0   339.1   352.4   368.4   390.0   423.9   500.3   870.7  3504.5  32349.7    32442
read      300.6   219.6    86.8   134.7   148.3   262.6   326.1   363.9   393.8   432.0   481.0   558.1   849.0  2656.2  6414.7  73232.7    73039
read      303.0   199.8    86.8   137.2   150.5   265.4   331.0   370.7   402.9   445.2   498.5   581.7   790.2  2243.1  5784.4  74117.3    74055
read      286.7   132.0    86.8   138.7   152.2   274.5   328.6   357.6   378.3   403.2   435.8   484.9   591.4  1129.8  3026.7  51442.7    51197
read      302.2   165.2    86.8   139.0   152.9   278.6   338.7   372.2   398.0   430.5   471.9   540.1   770.5  1774.8  3985.4  59532.3    59442
read      294.9   105.8    93.8   150.2   165.9   292.0   336.1   360.1   376.8   396.7   422.6   461.6   549.1   905.8  2164.2  35513.3    35654
read      303.2   254.6    86.8   141.4   155.6   263.7   321.4   352.5   374.8   402.8   444.2   531.3  1015.9  3503.9  7544.9  78992.0    78747
read      287.6   142.0    93.8   147.5   162.2   281.8   325.9   347.8   363.9   381.9   403.9   444.4   572.5  1780.7  4564.1  42274.0    42212
read      289.3   129.7    86.8   139.5   153.4   277.6   332.2   362.1   383.7   409.1   442.3   493.6   600.9   816.3  3005.8  52787.0    52488
read      289.8   115.7    93.8   146.5   161.9   284.6   329.6   353.3   370.3   391.0   417.2   457.6   554.3  1348.9  2492.2  36999.3    36950
read      272.3    76.1   101.3   163.2   183.8   271.5   299.0   313.6   323.5   336.6   351.9   375.4   434.6   659.9  1975.7  16754.3    16762
