Random waveform, supplied seed
Total number of intervals = 400 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730)
Average QPS expected = 57995
Timestamp start: 1778621207779
Timestamp end: 1778623008168

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      242.5    93.8   109.4   171.5   185.6   236.6   256.1   267.3   274.4   285.2   296.6   317.2   370.6  1066.4  5100.1   6836.0     6927
read      281.9   142.2    86.8   137.8   150.5   264.8   318.0   347.7   370.0   396.2   429.6   479.6   613.7  1655.6  3852.8  52677.3    52892
read      297.4   230.0    86.8   140.7   155.0   252.3   307.9   339.6   363.9   395.0   443.5   574.2  1065.8  2957.9  5535.8  98698.2    98921
read      280.6   130.3    86.8   136.9   149.7   261.6   318.1   348.6   371.0   398.0   433.8   492.6   647.1  1117.4  2190.4  61151.3    61129
read      272.8   107.1    93.8   139.5   152.7   266.9   312.0   335.9   353.0   372.5   397.7   434.6   520.4  1010.7  2658.1  40673.6    40613
read      275.3   124.5    86.8   135.5   148.0   261.2   314.3   342.9   364.3   389.3   421.4   467.9   574.8   998.6  3095.7  53262.7    53226
read      272.7   116.0    86.8   140.9   154.2   268.2   312.2   334.8   350.6   369.7   394.0   429.7   504.5   784.5  2336.1  38556.0    38560
read      296.4   246.0    86.8   143.0   157.7   256.2   310.0   339.8   362.0   388.8   425.8   501.0  1160.8  3340.5  7813.2 103426.2   103465
read      279.5   173.0    86.8   144.6   159.5   256.3   307.3   335.1   355.1   378.2   408.3   459.5   631.5  2491.3  6081.0 104836.9   104758
read      266.7   137.3    86.8   139.1   152.3   243.7   297.6   326.4   346.1   369.4   398.2   442.5   582.8  1717.0  3871.6  94670.9    94759
read      276.0   101.0    93.8   145.3   159.3   273.7   314.9   335.7   349.8   367.7   390.2   424.4   507.2  1005.5  2452.8  37658.0    37799
read      235.9    92.3   101.3   164.1   179.0   230.9   249.3   259.6   267.4   275.2   289.0   308.7   357.5  1118.3  3392.6   8354.4     8296
read      287.5   171.0    86.8   135.4   148.1   257.4   319.1   355.7   383.9   418.7   463.4   532.3   723.7  1604.4  3929.6  69413.8    69443
read      251.1    72.4    93.8   163.0   181.1   248.8   271.2   283.8   292.4   303.2   317.1   340.4   392.0   587.6  3276.5  12571.8    12517
read      274.5   113.4    86.8   139.4   152.2   266.2   313.2   338.6   357.0   377.8   404.5   445.8   535.3  1078.6  2553.6  43504.2    43591
read      266.0   101.1    93.8   153.8   170.6   264.7   292.7   307.8   317.8   330.9   345.7   371.4   435.1  1171.8  3352.3  20313.8    20430
read      301.5   250.3    86.8   141.4   155.8   254.4   310.0   341.4   365.4   394.9   437.7   556.3  1245.7  2991.7  7751.5  93503.8    93758
read      248.7    92.4   101.3   166.1   183.8   244.8   265.5   275.9   285.3   294.6   309.0   330.6   389.9   961.0  5679.3  10526.4    10485
read      267.9   108.0    93.8   161.9   180.7   265.6   292.5   307.4   317.4   330.6   345.5   371.3   430.9   807.3  3582.3  16320.7    16518
read      281.7   195.4    86.8   139.1   152.2   249.2   306.4   336.4   358.1   383.5   417.6   482.2   825.5  2614.4  6202.4  83180.2    83230
read      225.9   132.0   101.3   161.7   174.1   218.8   234.5   244.7   251.6   260.6   271.8   291.9   344.8  1131.2  7259.9   5544.7     5484
read      278.6   161.2    86.8   135.8   148.4   261.2   315.3   345.1   367.3   393.0   425.7   472.0   591.7  1494.4  6978.5  55518.7    55611
read      265.2    90.0    93.8   152.7   169.2   264.7   293.2   308.7   318.9   332.6   347.7   373.8   437.8   792.7  3067.3  20838.2    20774
