Random waveform, supplied seed
Total number of intervals = 450 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330, 64301, 11203, 7291, 87477, 77485, 42055, 26865, 94592, 66869, 17835, 55977, 82437, 15775, 87559, 105401, 88752, 94531, 101303, 86640, 84818, 20221, 43599, 52779, 89855, 48532, 107423, 46535, 47535, 49633, 30334, 17207, 106074, 48912, 96483, 39228, 92350, 85084, 81993, 101617, 16730, 71079, 108942, 55406, 42279, 21876, 34140, 42897, 18462, 100375, 41347, 101594, 47486, 73393, 51134, 58201, 71020, 72071, 93446, 28724, 59269, 74624, 52368, 9687, 44165, 6895, 55457, 61164, 108384, 33319, 97895, 39720, 68554, 86849, 30264, 100754, 98098, 86028, 93054, 42348, 29490, 18187, 95113, 8570, 62285, 52582, 34260, 59493, 58208, 93458, 18056)
Average QPS expected = 58024
Timestamp start: 1778618925864
Timestamp end: 1778620726266

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      242.6    79.8   109.4   171.5   185.8   236.2   255.7   267.2   274.4   285.3   296.7   319.1   374.5  1200.3  3148.4   6875.5     6927
read      286.3   125.9    86.8   139.9   153.2   269.9   325.0   356.2   379.2   406.1   442.2   495.4   622.7  1002.1  2413.8  52498.8    52892
read      288.5   225.4    86.8   140.4   154.0   247.8   302.5   333.0   355.7   383.5   423.5   507.7   999.7  3075.6  5815.6  99090.5    98921
read      287.6   166.5    93.8   139.5   152.6   263.3   320.4   351.6   374.2   402.8   443.4   507.9   717.8  1711.7  4235.6  61223.5    61129
read      275.1   118.3    93.8   141.2   154.7   267.8   313.5   337.9   355.5   375.2   401.0   441.2   533.6   887.8  3222.3  40617.2    40613
read      274.9   117.7    93.8   136.2   148.8   260.1   313.2   342.4   364.3   390.1   422.9   468.8   577.4   979.4  1922.4  53188.5    53226
read      276.8   100.2    86.8   142.9   156.7   270.6   315.9   340.3   357.8   377.2   402.6   441.2   524.3   841.1  1683.3  38648.0    38560
read      285.3   222.4    86.8   140.8   154.7   248.2   301.0   330.5   351.8   377.4   413.7   484.3   940.3  3298.2  6421.8 103526.5   103465
read      270.6   147.0    86.8   140.8   154.6   246.0   298.0   326.9   347.1   371.7   402.8   456.6   630.5  1972.1  3584.4 104967.8   104758
read      272.4   151.9    86.8   140.6   154.0   247.3   301.0   330.1   350.4   374.2   404.7   458.3   669.8  1800.2  3976.6  94722.8    94759
read      274.9   101.2    93.8   144.8   159.0   271.6   313.7   335.2   349.9   367.9   390.7   426.0   507.3   903.6  2035.8  37632.2    37799
read      241.6    84.7   101.3   169.2   185.0   236.8   255.8   266.8   273.6   283.6   294.9   316.0   368.6  1111.2  2754.2   8320.8     8296
read      277.4   145.9    86.8   133.4   145.7   251.2   310.5   344.3   370.1   401.6   442.5   500.9   664.6  1453.5  2970.3  69268.5    69443
read      249.0    79.7   101.3   162.2   181.2   246.5   268.5   280.4   289.1   298.2   313.1   335.0   385.0   586.6  3072.0  12518.5    12517
read      270.9   114.1    86.8   139.1   151.6   262.0   309.3   334.3   351.9   372.6   399.0   437.2   527.4   937.0  2353.2  43515.0    43591
read      262.8    74.8   101.3   152.8   169.9   262.6   291.2   306.7   317.2   330.5   345.6   371.7   428.7   601.1  1919.1  20299.2    20430
read      287.9   212.3    86.8   140.0   153.4   247.8   304.1   336.2   360.4   390.1   432.7   525.2   916.4  3087.8  5725.1  93407.5    93758
read      249.1    88.5   109.4   167.0   184.9   245.9   266.5   276.9   285.9   294.9   308.4   327.5   378.5  1101.4  3188.1  10459.8    10485
read      259.1   126.7    93.8   156.8   175.0   255.4   280.3   293.7   303.8   315.3   331.1   355.9   417.3  1339.6  5289.6  16522.0    16518
read      290.6   199.1    86.8   138.7   151.5   249.5   310.1   344.5   371.1   405.5   460.0   561.6   824.9  2635.7  4877.6  83127.8    83230
read      231.4    89.2   101.3   165.4   178.5   226.3   243.1   252.3   259.7   268.5   279.2   297.2   357.4  1161.4  4902.6   5480.2     5484
read      286.6   148.0    86.8   137.2   150.4   266.5   323.1   355.5   378.7   406.3   442.9   496.9   649.9  1702.7  3141.0  55468.2    55611
read      267.3    90.1   101.3   153.9   171.0   266.7   295.5   311.5   321.9   336.4   353.5   379.7   437.3   724.8  3840.9  20738.0    20774
read      304.5   255.9    86.8   140.3   154.1   251.8   309.7   342.8   369.1   403.1   461.5   612.3  1321.5  3326.8  7442.0  96750.5    96726
read      275.6   111.4    93.8   149.0   163.2   273.2   311.1   330.5   343.6   360.4   381.0   415.1   499.2   947.6  3982.6  32377.2    32442
read      279.8   163.6    86.8   133.9   146.3   248.9   309.8   345.2   373.4   407.6   451.8   512.5   669.3  2087.8  4240.2  73091.8    73039
